1-UP	1-up
pem	reckless
pem	sail
pem	surname
pem	violate
pem	whenever
pen	anti
pen	boundary
pen	burn
pen	difficult
pen	fence
pen	flag
pen	flap
pen	flip over
pen	interpret
pen	railing
pen	repeat
pen	roast
pen	robe
pen	surname
pen	take turns
pen	troublesome
pen	turn
pen	vex
pep	French
pep	enamel
pep	law
pereumion	fermion
peurangkeujok	Frank
peurangsyum	francium
peurijiaeo	Frisian
pey	north
pey	northern
pey	northward
pey	surname
peyk	hundred
pha	Henan
pha	apprehensive
pha	birthmark
pha	branch
pha	broadcast
pha	cast away
pha	cicatrix
pha	climb
pha	corpulent
pha	creep
pha	dam
pha	display
pha	embankment
pha	fear
pha	flowers
pha	fragrant
pha	give up
pha	glass
pha	grandmother
pha	guard
pha	hillside
pha	hold
pha	improbable
pha	lame
pha	loquat
pha	old woman
pha	papa
pha	put
pha	rake
pha	rather
pha	regard as
pha	rout
pha	ruin
pha	scramble
pha	sow
pha	stop
pha	sway
pha	target
pha	thereupon
pha	tree
pha	undulations
pha	veil
pha	waves
pha	white
pha	winnower
pha	wrap
phal	all sides
phal	break open
phal	eight
phal	trumpet
phan	conclude
phan	deal with
phan	discriminate
phan	edition
phan	hillside
phan	judge
phan	manage
phan	peddler
phan	petal
phan	plank
phan	plate
phan	segment
phan	slope
phan	valves
phas	place name
phay	back
phay	back side
phay	behind
phay	betray
phay	comet
phay	copious
phay	currency
phay	dispel
phay	distribute
phay	fail
phay	father’s elder brother
phay	flags
phay	fold
phay	lungs
phay	move
phay	older brother
phay	pendant
phay	pull out
phay	respect
phay	seashell
phay	signboard
phay	sudden
phay	uproot
phay	weeds
phayng	beside
phayng	bloated
phayng	boil
phayng	close by
phayng	messenger
phayng	side
phayng	smoothly
phayng	splatter
phayng	stir-fry
phayng	surname
phayng	swell
phi	argue
phi	avoid
phi	bedding
phi	biased
phi	crack
phi	dam
phi	develop
phi	escape
phi	feather
phi	feel tired
phi	give up
phi	hide
phi	lame
phi	law
phi	one-sided
phi	outer
phi	remote
phi	reservoir
phi	split
phi	stop
phi	those
phi	turn aside
phi	unorthodox
phi	weak
phi	wear
phi	wig
phil	Buddha
phil	EMP
phil	aroma
phil	bamboo
phil	blame
phil	bolt of cloth
phil	completed
phil	correct
phil	dead
phil	dust
phil	finish
phil	foot
phil	fragrance
phil	fragrant
phil	help
phil	knee pad
phil	make room for
phil	must
phil	ornament
phil	roll
phil	seep out
phil	shake off
phil	stroke
phil	surely
phil	write
phil	writing brush
phip	bother
phip	compel
phip	lack
phip	poor
pho	abalone
pho	acne
pho	admonish
pho	announce
pho	artillery
pho	bake
pho	bed
pho	blister
pho	burst forth
pho	cannon
pho	carpenter’s plane
pho	catch
pho	cite
pho	cooking
pho	cotton cloth
pho	crawl
pho	cultivated field
pho	dinnertime
pho	dried fish
pho	dried meat
pho	eat
pho	eat heartily
pho	eat one’s fill
pho	enduring
pho	enfold
pho	fear
pho	feed
pho	frighten
pho	gourd
pho	grapes
pho	heavy rain
pho	huge
pho	kitchen
pho	large gun
pho	late afternoon
pho	leather bag
pho	level
pho	lie prostrate
pho	long gown
pho	musical instrument
pho	on duty
pho	pack
pho	package
pho	placenta
pho	reject
pho	roar
pho	roast
pho	run away
pho	shore
pho	soak
pho	spread out
pho	store
pho	suds
pho	sun
pho	sunset
pho	surname
pho	terrified
pho	throw
pho	tyrannical
pho	vine
pho	waterfall
pho	wrap
phok	heavy rain
phok	pop
phok	strip
phok	sun
phok	tyrannical
phok	waterfall
phos	place name
phwum	article
phwum	petition
phwun	divide
phwung	air
phwung	by dint of
phwung	gallop
phwung	incant
phwung	insane
phwung	lush
phwung	manners
phwung	maple tree
phwung	satirize
phwung	surname
phwung	wind
phyak	obstinate
phyem	censure
phyem	counsel
phyem	lower
phyem	pierce
phyen	all over
phyen	arrange
phyen	bat
phyen	brag
phyen	bream
phyen	cheat out of
phyen	compile
phyen	ease
phyen	expedient
phyen	flat
phyen	fly
phyen	grass
phyen	hem
phyen	level
phyen	mean
phyen	narrow
phyen	narrow-minded
phyen	peaceful
phyen	queue
phyen	quibble
phyen	section
phyen	signboard
phyen	slanting
phyen	small boat
phyen	strip
phyen	throughout
phyen	walk with a limp
phyen	weave
phyen	whip
phyeng	anxious
phyeng	apple
phyeng	artemisia
phyeng	attack
phyeng	borax
phyeng	censure
phyeng	chess
phyeng	chessboard
phyeng	criticize
phyeng	duckweed
phyeng	eager
phyeng	flounder
phyeng	join together
phyeng	level
phyeng	level ground
phyeng	peaceful
phyeng	roar
phyeng	wandering
phyey	bark
phyey	break
phyey	buttocks
phyey	collapse
phyey	criminal
phyey	currency
phyey	evil
phyey	favorite
phyey	hide
phyey	kill
phyey	lungs
phyey	minion
phyey	obstruct
phyey	shelter
phyey	shut
phyey	tattered
phyey	terminate
phyey	thigh
phyey	throne
phyey	wood shavings
phyo	airy
phyo	bit
phyo	blaze
phyo	dim
phyo	divide
phyo	escort
phyo	fast
phyo	fat
phyo	float
phyo	floating
phyo	frequent
phyo	hair
phyo	label
phyo	ladle
phyo	light
phyo	manifest
phyo	milling
phyo	misty
phyo	panther
phyo	plunder
phyo	push out
phyo	ride
phyo	rump
phyo	slice off
phyo	spear
phyo	standard
phyo	starve to death
phyo	steed
phyo	strike
phyo	surname
phyo	swift
phyo	throw out
phyo	ticket
phyo	tiger
phyo	whirlwind
pi	Philippines
pi	abstruse
pi	add
pi	adjoin
pi	arm
pi	arsenic
pi	avoid
pi	baboon
pi	bandits
pi	be ill
pi	blood
pi	break wind
pi	broom
pi	brown bear
pi	buttocks
pi	calf
pi	castor-oil plant
pi	cause
pi	caution
pi	chaff
pi	cockroach
pi	coffee
pi	comb hair
pi	compare
pi	comparison
pi	completeness
pi	crimson
pi	criticize
pi	dart
pi	despise
pi	destroyed
pi	dirk
pi	disposition
pi	distinguished
pi	door panel
pi	dyspepsia
pi	elegant
pi	example
pi	expenses
pi	fart
pi	fatigued
pi	fertile
pi	final particle
pi	fine-toothed comb
pi	first
pi	flower
pi	fly
pi	fox cub
pi	fragrant
pi	give
pi	glare at
pi	go quickly
pi	gravestone
pi	guard against
pi	gush
pi	help
pi	herring
pi	hide
pi	hideaway
pi	high
pi	horse
pi	humble
pi	imperial concubine
pi	in order that
pi	jade
pi	kingfisher
pi	ladle
pi	little
pi	loquat
pi	low
pi	lump
pi	lush
pi	mean
pi	mighty
pi	morphine
pi	mussels
pi	no
pi	nose
pi	not
pi	oppose
pi	oval
pi	pancreas
pi	pant
pi	panther
pi	paralysis
pi	part company
pi	plump
pi	prepare
pi	provide
pi	purple
pi	put in order
pi	reins
pi	run
pi	sad
pi	seep out
pi	servant girl
pi	shield
pi	small
pi	sorrow
pi	stealthily
pi	stone tablet
pi	strong
pi	supplement
pi	than
pi	thigh
pi	vilify
pi	wholesale
pi	wife
pi	wither
pija	pizza
pin	apple
pin	approach
pin	areca nut
pin	beach
pin	court lady
pin	cultivated
pin	duty
pin	embalm
pin	encoffin
pin	entertain guests
pin	expel
pin	flourishing
pin	frequently
pin	frown
pin	funeral
pin	guest
pin	impoverished
pin	kneecap
pin	near
pin	portion
pin	refined
pin	river bank
pin	stream
pin	submit
pin	surname
pin	usher
pinamu	linden
ping	betroth
ping	charming
ping	cold
ping	depend on
ping	employ
ping	evidence
ping	hasten
ping	ice
ping	ice-cold
ping	ping
ping	send a message
pm	pm
po	announce
po	aromatic plant
po	assist
po	basket
po	begin
po	bustard
po	cheek bone
po	conceal
po	defend
po	dull
po	dull-minded
po	father
po	fort
po	great
po	infancy
po	jewel
po	man
po	musical score
po	pace
po	preserve
po	procuress
po	protective
po	rare
po	register
po	repair
po	see
po	step
po	swaddling cloth
po	undercurrent
po	village
po	walk
po	widespread
podo	raisin
podoju	wine
pok	abalone
pok	aroma
pok	assist
pok	assistant
pok	attack
pok	buzzard
pok	clothes
pok	cover
pok	crawl
pok	fall prostrate
pok	fortune-telling
pok	happiness
pok	honest
pok	in good health
pok	inside
pok	lie hidden
pok	plain
pok	prophesy
pok	quiet
pok	quiver
pok	radish
pok	repeat
pok	repeatedly
pok	reply
pok	return
pok	rough
pok	slave
pok	stomach
pok	strike
pok	supplement
pok	tip over
pok	turban
pok	turnip
pok	viper
pok	wear
pokdong	insurrection
pomaldehaideu	formaldehyde
pomok	cloth
pon	basis
pon	root
pong	abundant
pong	afloat
pong	awning
pong	bee
pong	boat
pong	careless
pong	club
pong	come upon
pong	dirt
pong	fairyland
pong	feudal
pong	flatter
pong	float
pong	flower
pong	hit
pong	letter
pong	offer
pong	ornament
pong	receive
pong	recite
pong	reckless
pong	resist
pong	respect
pong	sail
pong	salary
pong	serve
pong	sew
pong	sharp point
pong	signal fire
pong	summit
pong	variegated
potasyum	potassium
ppal	to suck
ppal	to wash
ppalgah	red
ppul	horn
ppuri	root
ppurida	sow
ppyeo	bone
prx	prx
psi	psi
pst	pst
pt	pints
pul	fire
pul	grass
pumsa	part of speech
pureu	green
pureuda	blue
pureur	green
pwu	abundant
pwu	account book
pwu	adhere to
pwu	announce
pwu	apply
pwu	army
pwu	assist
pwu	assistant
pwu	attend
pwu	ax
pwu	axe
pwu	barge
pwu	big
pwu	bow
pwu	bran
pwu	carp
pwu	carry
pwu	cauldron
pwu	condescend
pwu	cover
pwu	cultivate
pwu	decay
pwu	diffuse
pwu	dissect
pwu	drumstick
pwu	endow
pwu	entomb
pwu	entrails
pwu	entrust
pwu	exceed
pwu	extract
pwu	face down
pwu	fall forward
pwu	father
pwu	final particle
pwu	float
pwu	follow
pwu	gather
pwu	give
pwu	go to
pwu	government
pwu	hatchet
pwu	have confidence
pwu	hew
pwu	hibiscus
pwu	hold on
pwu	injure
pwu	instep
pwu	instruct
pwu	lie hidden
pwu	load
pwu	man
pwu	married women
pwu	mayfly
pwu	medicinal plant
pwu	mound
pwu	net
pwu	no
pwu	nod
pwu	numerous
pwu	obituary
pwu	pat
pwu	pay
pwu	place
pwu	port city
pwu	praise
pwu	prefect
pwu	prefecture
pwu	prisoner of war
pwu	prone
pwu	protect
pwu	raft
pwu	repeat
pwu	repeatedly
pwu	reply
pwu	return
pwu	ridgepole
pwu	rotten
pwu	screen
pwu	section
pwu	servant
pwu	shallow
pwu	sit cross-legged
pwu	sit on eggs
pwu	skin
pwu	slap
pwu	split in two
pwu	study
pwu	superfluous
pwu	supplement
pwu	support
pwu	surname
pwu	swim
pwu	tally
pwu	tap
pwu	tax
pwu	teal
pwu	those
pwu	tip over
pwu	tutor
pwu	un
pwu	wealthy
pwu	widespread
pwu	wife
pwu	woman
pwuk	lie hidden
pwuk	north
pwuk	northern
pwuk	northward
pwul	Buddha
pwul	bury
pwul	chop
pwul	clean
pwul	dead
pwul	dust
pwul	exorcise
pwul	gush
pwul	like
pwul	loose
pwul	no
pwul	not
pwul	oppose
pwul	roar
pwul	shake off
pwul	similar to
pwul	stretch
pwul	un
pwul	unkempt hair
pwul	weedy
pwun	air
pwun	aroma
pwun	arouse
pwun	atmosphere
pwun	awkward
pwun	bandits
pwun	basin
pwun	benzene
pwun	bestow
pwun	body
pwun	bring together
pwun	bulge
pwun	bulging
pwun	burn
pwun	chariot
pwun	dig
pwun	disordered
pwun	distribute
pwun	divide
pwun	dress up
pwun	dust
pwun	energetic
pwun	exasperation
pwun	fish
pwun	flee
pwun	foolish
pwun	forge ahead
pwun	get angry
pwun	group
pwun	gush
pwun	hamper
pwun	high
pwun	in disorder
pwun	indignant
pwun	inferior
pwun	instruct
pwun	luxuriant
pwun	many
pwun	mist
pwun	mound
pwun	night soil
pwun	overthrown
pwun	perfume
pwun	plaster
pwun	powder
pwun	promulgate
pwun	resent
pwun	river bank
pwun	ruin
pwun	run
pwun	rush about
pwun	spurt
pwun	strive
pwun	surname
pwung	awning
pwung	bind
pwung	booth
pwung	borax
pwung	collapse
pwung	friend
pwung	shed
pwung	strap
pwung	tie
pyek	bricks
pyek	craving
pyek	develop
pyek	fold
pyek	green
pyek	indigestion
pyek	jade
pyek	law
pyek	open
pyek	partition wall
pyek	remote
pyek	rip
pyek	split
pyek	stump
pyek	thumb
pyek	thunder
pyek	tree
pyek	unorthodox
pyel	awkward
pyel	criticize
pyel	do not
pyel	fresh-water turtle
pyel	hasty
pyel	limp
pyel	line
pyel	obstruct
pyel	pheasant
pyel	separate
pyel	shut
pyel	turtle
pyel	wholesale
pyen	alter
pyen	argue
pyen	arrange
pyen	associate
pyen	braid
pyen	callus
pyen	cheer
pyen	clap hands
pyen	compile
pyen	convenience
pyen	delighted
pyen	discriminate
pyen	distinguish
pyen	ease
pyen	excitable
pyen	expedient
pyen	flat
pyen	in a hurry
pyen	join
pyen	pleased
pyen	queue
pyen	rebel
pyen	side
pyen	signboard
pyen	team of horses
pyen	weave
pyeng	also
pyeng	arrange
pyeng	associate
pyeng	authority
pyeng	biscuits
pyeng	both
pyeng	bright
pyeng	brilliant
pyeng	bundle
pyeng	burst forth
pyeng	combine
pyeng	connect
pyeng	equal to
pyeng	expel
pyeng	folding screen
pyeng	glorious
pyeng	gush out
pyeng	hold
pyeng	illness
pyeng	jar
pyeng	join
pyeng	jug
pyeng	knob
pyeng	placard
pyeng	plate
pyeng	pleased
pyeng	rivet
pyeng	shield
pyeng	side by side
pyeng	split
pyeng	team of horses
pyeng	third
pyeng	troops
pyeng	wall
pyeng	what’s more
pyeongbeomhan	mediocre
pyobeom	pard
pyogo	shiitake
pyohyeon	manifestation
qWave	Quality Windows Audio-Video Experience
qt	qts
rad	radians
radon	radon
radyum	radium
rantan	lanthanum
rege	reggae
rev	rev
reverend	reverend
rityum	lithium
ro	in
ro	with
romaja	Roman
ronahî	light
rubidyum	rubidium
rutenyum	ruthenium
rêkxirawe	organization
rêkxistin	organization
rêxistin	organization
sEroun	new
sRGB	sRGB
sa	annals
sa	appoint
sa	as if
sa	bite
sa	bright
sa	broil
sa	burn
sa	candle
sa	cause
sa	cauterize
sa	cholera
sa	coir
sa	colic
sa	company
sa	complete
sa	compose
sa	control
sa	court
sa	dance
sa	dead
sa	death
sa	decline
sa	descendants
sa	die
sa	discard
sa	drain off
sa	dusk
sa	eat
sa	emit
sa	envoy
sa	erect
sa	evil
sa	exaggerate
sa	examine
sa	excess
sa	expression
sa	fast
sa	feed
sa	feign
sa	final particle
sa	fine thread
sa	first time
sa	food
sa	foolish
sa	four
sa	gentleman
sa	give
sa	give alms
sa	granulated
sa	gritty
sa	hamper
sa	hew
sa	house
sa	imbecile
sa	incident
sa	indulge
sa	inherit
sa	ladle
sa	lay down
sa	lion
sa	little
sa	lop off
sa	loud
sa	lounge
sa	maggot
sa	make mischief
sa	master
sa	matter
sa	meal
sa	minute
sa	mucous
sa	musk deer
sa	nourish
sa	offer
sa	officer
sa	official
sa	pavilion
sa	pebbles
sa	peek
sa	phrase
sa	pilot
sa	ponder
sa	pour down
sa	private
sa	rather
sa	remit
sa	resemble
sa	reside
sa	retire from office
sa	rough
sa	rough skin
sa	sacrifice
sa	sacrificial
sa	sand
sa	saunter
sa	secret
sa	sediment
sa	serve
sa	shark
sa	shift
sa	shop
sa	show
sa	sieve
sa	sift
sa	silk
sa	sketch
sa	slanted
sa	slanting
sa	snake
sa	sniffle
sa	soldier
sa	stab
sa	stick in
sa	strings
sa	such
sa	surname
sa	swindle
sa	temple
sa	thank
sa	therefore
sa	thin silk
sa	trick
sa	troops
sa	unsteady
sa	wait for
sa	wasteful
sa	wax
sa	waxy
sa	weaver’s shuttle
sa	whispering
sa	wire
sa	words
sa	work
sa	write
sa	yarn
sa	yellowtail
sada	buy
sado	apostle
sae	bird
sae	new
saengmulgwon	biosphere
saerop	new
saerow	new
sageon	occurrence
sagwanamu	apple
sagwanamu	apple tree
sahyeong	capital punishment
sajeon	dictionary
sajeon	encyclopedia
sajin	picture
sajinsa	photographer
sak	cable
sak	count
sak	exact
sak	fate
sak	formerly
sak	go upstream
sak	inquire
sak	isolated
sak	lance
sak	melt
sak	north
sak	number
sak	pare
sak	rules
sak	seed
sak	several
sak	shine
sak	sparkle
sal	baleful
sal	cast away
sal	disperse
sal	hurt
sal	meat
sal	murder
sal	pare off
sal	relax
sal	strike dead
sal	surname
sal	to live
salkkach	skin
salmonella	salmonella
sam	forest
sam	ginseng
sam	gown
sam	huge
sam	jacket
sam	mixed
sam	mow
sam	robe
sam	samarium
sam	scattered
sam	scraggy
sam	scythe
sam	shirt
sam	take part in
sam	three
sam	weed out
samak	desert
samsip	thirty
san	acid
san	bamboo
san	be obstructed
san	break down
san	calculate
san	coral
san	cut
san	cut off
san	delete
san	erase
san	garlic
san	geld
san	give birth
san	hail
san	hernia
san	hill
san	mountain
san	parasol
san	plan
san	ridicule
san	scatter
san	slander
san	spade
san	spoiled
san	stagger
san	stiff
san	tart
san	twins
san	vilify
san	weep
sanae	husband
sanae	man
sanai	man
sanchaek	walk
sang	above
sang	appearance
sang	appreciate
sang	beautiful
sang	bed
sang	bench
sang	candied
sang	chassis
sang	cheerful
sang	chest
sang	chestnut oak
sang	climax
sang	clothes
sang	complete
sang	crystallized
sang	detailed
sang	die young
sang	dried fish
sang	elephant
sang	even
sang	experience
sang	feast
sang	forehead
sang	form
sang	framework
sang	frost
sang	funeral
sang	glide
sang	go up
sang	good luck
sang	good omen
sang	happiness
sang	highest
sang	hot water
sang	image
sang	injury
sang	ivory
sang	kowtow
sang	lingering
sang	make noise
sang	moment
sang	mountain pass
sang	mourn
sang	mourning
sang	mulberry tree
sang	national mourning
sang	noon
sang	official
sang	picture
sang	plan
sang	plateau
sang	rather
sang	reciprocal
sang	recompense
sang	refreshing
sang	regular
sang	resemble
sang	restitution
sang	reward
sang	rubber
sang	rubber tree
sang	shape
sang	skirt
sang	sound
sang	soup
sang	surname
sang	taste
sang	teach
sang	throat
sang	top
sang	toward
sang	trade
sang	voice
sang	widow
sang	wing
sang	yet
sangeo	shark
sap	astringent
sap	bleak
sap	draw in
sap	drizzle
sap	gnaw
sap	harsh
sap	insert
sap	instant
sap	marking pin
sap	melancholy
sap	passing
sap	plant
sap	receive
sap	rough
sap	slipshod
sap	spade
sap	spear
sap	thirty
sap	thunder
sap	tread on
saram	human being
saram	man
saram	person
saranghae	I love you
say	contend
say	fortress
say	pass
say	race
say	scatter
say	sprinkle
say	stop up
sayk	abstruse
sayk	accuse
sayk	astringent
sayk	beauty
sayk	cable
sayk	coarse
sayk	exact
sayk	farm
sayk	form
sayk	fortress
sayk	inform
sayk	inquire
sayk	isolated
sayk	maple
sayk	narrate
sayk	pass
sayk	rose
sayk	rough
sayk	rules
sayk	stingy
sayk	stop up
sayk	stopped up
sayk	sue
sayk	thrifty
sayk	tint
sayk	uneven
sayng	animal
sayng	birth
sayng	crime
sayng	economize
sayng	label
sayng	lifetime
sayng	lot
sayng	province
sayng	sacrificial animal
sazman	organization
scRGB	scRGB
se	abundant
se	auspicious
se	bite
se	bright
se	chestnut oak
se	composed
se	country house
se	die
se	discrimination
se	divining rod
se	document
se	easy
se	eliminate
se	eradicate
se	excuse
se	express
se	extricate
se	gnaw
se	hoe
se	hot
se	husband
se	island
se	knowledge
se	multitude
se	narrate
se	oath
se	occident
se	pass away
se	perch
se	pledge
se	public office
se	rat
se	relax
se	relieve
se	rhinoceros
se	roost
se	series
se	shore
se	slowly
se	snap at
se	son-in-law
se	stay
se	tear
se	thread
se	three
se	to count
se	together
se	treachery
se	unfold
se	various
se	well-tempered
se	west
se	writings
se	yam
segi	century
seje	laundry detergent
sek	ancient
sek	anger
sek	banquet
sek	begrudge
sek	bestow
sek	big
sek	break apart
sek	brilliance
sek	clear
sek	clearly
sek	discriminate
sek	divide
sek	dried meat
sek	dusk
sek	emit
sek	evident
sek	fair
sek	fertile
sek	formerly
sek	great
sek	interprete
sek	ire
sek	lizard
sek	magpie
sek	marmot
sek	mat
sek	moist
sek	red
sek	release
sek	rock
sek	seat
sek	shoe
sek	silicon
sek	slanted
sek	sole of a shoe
sek	split wood
sek	squirrel
sek	stannum
sek	surname
sek	swamp
sek	white
sel	avenge
sel	bridle
sel	build
sel	burn
sel	codfish
sel	display
sel	establish
sel	flow
sel	fold
sel	foreword
sel	gatepost
sel	gnaw
sel	halter
sel	help
sel	leak
sel	lewd
sel	lust after
sel	plate
sel	ragged
sel	reveal
sel	scold
sel	scraps
sel	slight
sel	snow
sel	speak
sel	supposing
sel	tongue
sel	vent
sel	wear down
sel	wedge
sellenyum	selenium
sem	advance
sem	be sufficient
sem	crafty
sem	dodge
sem	elegant
sem	fine
sem	flash
sem	flatter
sem	glittering
sem	graceful
sem	incoherent talk
sem	keen-edged
sem	kill off
sem	minute
sem	mix
sem	mountain pass
sem	peep
sem	rise
sem	sharp-pointed
sem	sharpen
sem	shine
sem	slender
sem	support
sem	talkative
sem	toad
sen	abdicate
sen	barefooted
sen	castrate
sen	chalk
sen	choose
sen	cicada
sen	clean
sen	clue
sen	collect
sen	compose
sen	continuous
sen	covet
sen	declare
sen	decoration
sen	door panel
sen	eel
sen	elect
sen	election
sen	envy
sen	eulogize
sen	exploit
sen	fan
sen	former
sen	fresh
sen	from
sen	gland
sen	hail
sen	halberd
sen	individual
sen	inquire
sen	kind
sen	lathe
sen	lone
sen	lovely
sen	meals
sen	meditation
sen	mill
sen	moss
sen	new
sen	numerous
sen	praise
sen	rare
sen	reduce
sen	relax
sen	repair
sen	return
sen	revolve
sen	rewrite
sen	rinse
sen	rule
sen	seldom
sen	ship
sen	single
sen	star
sen	stir up
sen	surname
sen	thread
sen	through
sen	transcendent
sen	very few
sen	walk around
sen	yet
seng	archives
seng	brown
seng	castle
seng	chalk
seng	character
seng	city
seng	clear
seng	completed
seng	contain
seng	economize
seng	fill
seng	flourishing
seng	harmonious
seng	holy
seng	intelligent
seng	municipality
seng	music
seng	pearl
seng	people
seng	planet
seng	province
seng	raw meat
seng	sage
seng	sincere
seng	sober up
seng	splendor
seng	startle
seng	strong-smelling
seng	surname
seng	tone
seng	true
seng	voice
seng	wake up
sentimiteo	centimetre
seo	because
seo	to stand
seolmyeong	explanation
seom	island
seong	last name
seongseo	Bible
seoreun	thirty
sep	absorb
sep	adjust
sep	administer
sep	blend
sep	follow
sep	hesitation
sep	leaf
sep	period
sep	petal
sep	pincers
sep	scared
sep	step on
sep	surname
sep	temporal bone
sep	wade across
sep	walk
sep	whisper
sepogolgyeog	cytoskeleton
sereubia	Serbia
serotonin	serotonin
ses	three
sesyum	caesium
seudoku	sudoku
seukandyum	scandium
seupein	Spain
seuteurontyum	strontium
sey	age
sey	borrow
sey	broomstick
sey	clean
sey	comet
sey	duty
sey	era
sey	fine
sey	fine cloth
sey	generation
sey	handkerchief
sey	harvest
sey	loan
sey	molt
sey	pardon
sey	pour
sey	power
sey	rinse
sey	scatter
sey	scold
sey	shiver
sey	slender
sey	speak
sey	sprinkle
sey	tax
sey	taxes
sey	tendency
sey	upbraid
sey	wipe away
sey	world
sey	year
shi	o'clock
shigeumchi	spinach
shim	shim
si	Anethum graveolens
si	act
si	apprehensive
si	arrow
si	attendant
si	be
si	begin
si	beginning
si	cause
si	city
si	conjecture
si	consider
si	corpse
si	court
si	demonstrate
si	demonstrative pronoun
si	envoy
si	examine
si	exhaust
si	experiment
si	fair
si	feel
si	fin
si	fuel
si	give
si	good fortune
si	grant
si	happiness
si	harvest
si	hilsa herring
si	hold in hand
si	honest
si	jaw
si	just like
si	key
si	look at
si	manifest
si	merely
si	milfoil
si	name
si	peace
si	period
si	persimmon
si	pig
si	plant
si	poem
si	poetry
si	preside
si	rely on
si	roost
si	samurai
si	season
si	servant
si	serve
si	shit
si	spoon
si	stop at
si	strain
si	summer
si	surname
si	swear
si	sweetmeats
si	syrup
si	talented
si	temple
si	then
si	trade
si	transplant
si	urgent
si	wicked
si	wings
si	wolf
si	yes
sibi	twelve
sibirwol	November
sibiwol	December
siheomgwan	test tube
sik	breed
sik	clear
sik	daughter-in-law
sik	deceive
sik	decorate
sik	drink
sik	eat
sik	eclipse
sik	erode
sik	food
sik	formula
sik	grow
sik	honest
sik	increase
sik	meal
sik	nibble away
sik	plant
sik	prosper
sik	put out
sik	rest
sik	tree
sik	understand
sil	comprehend
sil	cricket
sil	honest
sil	lose
sil	neglect
sil	room
sil	sincere
sil	true
sileob	syrup
sillopon	xylophone
sim	addicted to
sim	ancient
sim	considerably
sim	counsel
sim	dagger
sim	deep
sim	depth
sim	examine
sim	far
sim	heart
sim	intelligence
sim	judge
sim	name
sim	nervous
sim	ray
sim	search
sim	seep in
sim	sincere
sim	sink
sim	small sword
sim	soul
sim	sturgeon
sim	surname
sim	very
simda	sow
simgeungyeongsaeg	heart attack
simrihak	psychology
sin	God
sin	advance
sin	ashes
sin	ask
sin	be cautious
sin	believe
sin	berate
sin	bitter
sin	body
sin	clams
sin	crowd
sin	daybreak
sin	early morning
sin	examine
sin	extend
sin	faithfulness
sin	farewell present
sin	fuel
sin	gentry
sin	girdle
sin	god
sin	gums
sin	high water
sin	hull
sin	imperial
sin	imperial palace
sin	inquire
sin	interrogate
sin	juice
sin	kidneys
sin	letter
sin	liquid
sin	long
sin	moan
sin	much more
sin	new
sin	numerous
sin	pour
sin	pregnant
sin	remnants
sin	report
sin	reproach
sin	salary
sin	sin
sin	skull
sin	smile at
sin	sneer at
sin	spirit
sin	statesman
sin	sudden
sin	talk
sin	testes
sin	tie
sin	toilsome
sin	top of the head
sin	trust
sin	vilify
sin	water
sin	waterspouts
sinaebseu	synapse
sineo	neologism
sinmun	gazette
sip	complete
sip	crossroads
sip	decagram
sip	fortieth
sip	miscellaneous
sip	perfect
sip	street
sip	ten
sip	tidy up
sireopga	businessman
smi	smi
so	accuse
so	bake
so	be like
so	be reborn
so	beautiful
so	bedraggled
so	bright
so	broom
so	brush
so	burn
so	butter
so	cancel
so	carry
so	carry on
so	chirp
so	collect
so	comb
so	dejected
so	devilfish
so	die out
so	draw
so	exterminate
so	fat
so	flaky
so	foot
so	formerly
so	giggle
so	go upstream
so	grieved
so	hand down
so	harass
so	hasty
so	heat
so	horse mackerel
so	illustrious
so	imperial decree
so	inadequate
so	inform
so	insignificant
so	iris
so	itch
so	join
so	lax
so	light
so	light up
so	lofty
so	loiter
so	market
so	melt
so	melt away
so	minnow
so	mischevious
so	mist
so	mournful
so	narrate
so	neglect
so	nest
so	night
so	normally
so	octopus
so	place
so	plain
so	plastics
so	pretty
so	raise up
so	reflect
so	resemble
so	resurrect
so	resuscitate
so	revive
so	rise up
so	roar
so	roast
so	roll
so	scratch
so	sculpt
so	select
so	similar
so	sky
so	snicker
so	sue
so	summon
so	surname
so	swamps
so	sweep
so	take
so	vegetables
so	vegetarian
so	vessels
so	whistle
so	white
sodyum	sodium
soe	iron
sogeum	salt
sojeoj	cow milk
sojeoj	milk
sok	atone for
sok	bale
sok	belong to
sok	buy
sok	carry on
sok	class
sok	control
sok	grain
sok	prompt
sok	ransom
sok	start
sok	succeed
sok	unrefined
sol	commander-in-chief
sol	cricket
sol	lead
sol	limit
sol	rate
sol	ratio
sol	whispering
somog	even-toed ungulate
son	cooked food
son	descendent
son	diminish
son	dine
son	eat
son	evening meal
son	food
son	hand
son	impair
son	injure
son	meal
son	mild
son	modest
son	south-east
son	southeast
son	supper
son	surname
son	yield
sonamu	pine
song	acclaim
song	accuse
song	argue
song	dewdrop
song	dispatch
song	fir tree
song	hymn
song	icicle
song	lax
song	litigate
song	ode
song	pine tree
song	relax
song	repeat
song	respect
song	scared
song	send off
song	surname
sontob	fingernail
sopeuchoseu	sovkhoz
sorav	lipstick
soy	cut
soy	decline
soy	encourage
soy	hurt
soy	murder
soy	pare off
soy	strive
soy	weaken
ssal	rice
ssang	both
ssang	couple
ssau	to fight
sseog	rotten
sseuregi	waste
sseuregitong	trash can
ssi	clan
ssi	mister
ssi	part of speech
ssi	seed
ssi	sir
